,text,BIO_anno
16,再给你补一张，不同入口进入代码还不一样，我也是笑了，不靠谱啊,O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O
17,以前经常空卡，今年开始正常用卡，真实加套现，留20%以上额度，四个月了，还没动静,O O O O O B-PRODUCT O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O B-PRODUCT O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O
18,招商的额度不稳定，都不敢用了，以后给了临时额度，也还是不用的好。,B-BANK I-BANK O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O
19,没临时也算正常，问题是能不能提额？,O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_N I-COMMENTS_N O
20,400天没临时，就用过e招贷,O O O O O O O O O O O O O O
21,同黑不能分期没临时,O O B-COMMENTS_ADJ I-COMMENTS_ADJ B-PRODUCT I-PRODUCT O O O
22,应该是卡太多了，貌似8行以上就很难提额了，当然指的是大部分普通客户，格外优秀的十多行也照提,O O O B-PRODUCT B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O O O O O O O O
23,我800多天没有了，就这样吧，死心了,O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O
24,我特么进了一大堆有的没的，只申了个鸟白……现在1.2??我能给干到8W么??能过就行了吧。。。,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
25,我特么提示我他行额度汇总过高？？？??6行16W??也叫高么。。。这个怎么破,O O O O O O O O O O O O O B-COMMENTS_ADJ O O O O O O O O O O O O O O B-COMMENTS_ADJ O O O O O O O O O
26,首提后，一般是季度一次,B-COMMENTS_N I-COMMENTS_N O O O O O O O O O
27,可以，不影响。我浦发首卡也20W,O O O O O O O O B-BANK I-BANK B-PRODUCT I-PRODUCT O O O O
28,我还款日后第四天还的款，今天又出了临额和e招贷,O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O
29,最好别拖到宽限期，应该在还款日前还款且银行完成入账,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O B-COMMENTS_N I-COMMENTS_N O O O O O O O
30,上次提还是4.30号，额度还比较满意,O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O B-COMMENTS_ADJ I-COMMENTS_ADJ
31,哈哈！之前的情况是每次去网点办业务，都要被推荐办个储蓄卡，几年下来一大把储蓄卡，想注销还被劝不要注销……,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O B-COMMENTS_N I-COMMENTS_N O O O O O B-COMMENTS_N I-COMMENTS_N O O
32,现在借记卡管得严。你下次直接说想办个工资卡就行了。有个工作证明就没问题,O O B-PRODUCT I-PRODUCT I-PRODUCT O O B-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O O O O O O O O
33,查的都严，我记得之前去中行激活洛天依，当时直接说一天只有5储蓄卡张开卡名额,O O O B-COMMENTS_ADJ O O O O O O O B-BANK I-BANK B-COMMENTS_N I-COMMENTS_N B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O
34,薅你人头还不给办卡，太不地道了，不过貌似网申借记卡还有活动吧，信用卡估计是没活动了,O O O O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O
35,拿你的居住证或者用工合同可以直接办，但是你为啥要说是工行发工资呢，你可以说招行发，所以公司让你来办的。,O O O O O O O O O O O O O O O O O O O O O O O O O O B-BANK I-BANK O O O O O O O O O B-BANK I-BANK O O O O O O O O O O O O
36,不是为难你??是现在为了减少电信诈骗国家规定的??现在储蓄卡比信用卡还难??我在兴业和招商都遇到这情况??兴业是公司人事作证才给办理的??招商网上申请了激活也要这些东西...,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O B-BANK I-BANK O O O O O O O O O O O B-BANK I-BANK O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
37,那我网上申请，激活的时候还是要被刁难。这也太离谱了。,O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O
38,去年把招商储蓄卡销卡了，后面就不给我办了,O O O B-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O
39,我自己word编辑了一份工作证明，又在某多多上刻了个公章，打印了填好了，不敢去网点，好讨厌那种心虚害怕的感觉,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O B-COMMENTS_ADJ O O O
40,国家的政策是说大堂可以阻止不合理的开卡要求。但是国家也没说具体什么又是合理的。但是一般还款本工行房贷，还款本行信用卡，工资卡本行代发，还有一些本地全社会性质...,O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O B-BANK I-BANK B-PRODUCT I-PRODUCT O B-COMMENTS_N I-COMMENTS_N O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O
41,没赶上好时候啊，前年异地激活小招，强制我办了储蓄卡，还送了一瓶饮料,O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O
42,浦发：加速金80.5k平安：车主金60k,B-BANK I-BANK O O O O O O O O O B-BANK I-BANK O B-PRODUCT I-PRODUCT I-PRODUCT O O O
43,并没有，还是你姿势不对，我的积分都花不完！,O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O
44,我说的七月份开始。没有啥姿势不对。同样的消费，六月份就有积分。七月份的消费都入账了，积分还没到账，有点奇怪。...,O O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O B-PRODUCT I-PRODUCT O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O B-PRODUCT I-PRODUCT O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O
45,我司一台破电脑，下载招商天书那个文件，打开都可能死机,O O O O O O O O O O B-BANK I-BANK O O O O O O O O O O O O O O
46,并没有啊，还是看个人资质，我在中信银行的卡都批了20万额度,O O O O O O O O O O O O O O O B-BANK I-BANK I-BANK I-BANK O B-PRODUCT O O O O O O B-COMMENTS_N I-COMMENTS_N
47,"能刷就好了,分都是佛系",O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O
48,看你们刷卡没分我都特别好奇，怎么那么蠢,O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O B-COMMENTS_ADJ
49,房本一般不好用。得大额金融资产或者车本,O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O B-COMMENTS_N I-COMMENTS_N O B-PRODUCT I-PRODUCT O O O O O
50,销了，过几年再申吧。养不动你还刚啥，累得慌。,O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ O
51,没卵用，额度依然很低,O O O O B-COMMENTS_N I-COMMENTS_N O O O B-COMMENTS_ADJ
52,难道要逼着楼主销卡？,O O O O O O O O O O
53,刚下自由人生小白金，刷9w免年费，每月第一笔取现免手续费，求问掌上生活里取现算消费么？取现够9w可以免年费么？,O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O
54,可以取现，6月份刚上车，我办的招行的都可以的,O O O O O O O O O O O O O O O B-BANK I-BANK O O O O O
55,同问，掌上生活有手续费，银行app无手续费但是只能取2k,O O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O O B-PRODUCT I-PRODUCT I-PRODUCT O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O
56,掌上生活虽然显示有手续费，但是取现结束后手续费会减免掉！！在保证卡面上无欠款的情况下，当日取，当日还，实际费用为零。...,B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O O O O O O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
57,能准时3+1的都是好卡,O O O O O O O O O B-COMMENTS_ADJ B-PRODUCT
58,每期账单就几十元，也是稳定题？厉害了,O O B-COMMENTS_N I-COMMENTS_N O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O B-COMMENTS_ADJ I-COMMENTS_ADJ O
59,八行提额,O O B-COMMENTS_N I-COMMENTS_N
60,果然是建设垫底。我的也是，拿来洗车:lol,B-COMMENTS_ADJ I-COMMENTS_ADJ O B-BANK I-BANK O O O O O O O O O O O O O O O O
61,钻石卡在像你招手:D,B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O
62,秀儿，你这太优秀了,O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O
63,稳得一匹,B-COMMENTS_ADJ O O O
64,建行：11k双标普,B-BANK I-BANK O O O O B-PRODUCT I-PRODUCT O
65,年消费要9w，感觉做不到，放弃升级了,O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_ADJ I-COMMENTS_ADJ O
66,怎么申请？是邀请才可以吗？这么麻烦么,O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O
67,说白了还是幼稚,O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ
68,草，为啥我3+1翻车了，我每个月500多的消费！有2.5倍临时没用，然后什么都有。负债也低，翻车我咨询客服，说我额度使用率低不给提？??那看你这那个客服不是明显扯淡么？...,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
69,每月不过百，还能稳定3+1，老哥优秀啊！我主刷小招，都真实的，负债也不高，总翻车。,O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O B-COMMENTS_ADJ I-COMMENTS_ADJ O O B-COMMENTS_ADJ I-COMMENTS_ADJ O
70,升了鸟白之后免年费还不得消费了？,B-COMMENTS_ADJ O B-PRODUCT I-PRODUCT O O O B-COMMENTS_N I-COMMENTS_N O O O B-COMMENTS_N I-COMMENTS_N O O
71,怎么申请白金卡的？是邀请才可以吗？,O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O
72,算是邀请，固定额度有调额提醒,O O O O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O B-COMMENTS_N I-COMMENTS_N O O
73,那就额度止步了。建议升级卡片，把全币白和鸟白都开卡，用一段时间，销鸟白,O O B-COMMENTS_N I-COMMENTS_N O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O B-PRODUCT I-PRODUCT
74,我负债200个，也有ae百，百夫长。是不是可以骄傲一下。哎,O B-COMMENTS_N I-COMMENTS_N O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O
75,季日均，这砖一个月就行了，开心，哈哈哈,O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O
76,经葵花可以零开吗，我不想要了，没啥用,O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ
77,我也是银行狗一枚。不考虑ae。差旅要求没有那么高。薅满里程0成本持卡就够了,O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ O O O O O O B-COMMENTS_N I-COMMENTS_N O B-PRODUCT O O O
78,牛笔，如果放的时间长应该没问题,O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ
79,升级金葵花了吗150万可以考虑AE白,B-COMMENTS_ADJ I-COMMENTS_ADJ B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O
80,砖得放够3个月，额度就稳了,O O O O O O O O B-COMMENTS_N I-COMMENTS_N O B-COMMENTS_ADJ O
81,刚好三个月。4月一号进的款,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O
82,招行值得办的卡,B-BANK I-BANK O O O O B-PRODUCT
83,哇啊哦~~不下都不行了这么多钱，再拿个20以上的车进件稳稳的:lol,O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O
84,真有钱，这有钱还办什么信用卡,O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT
85,有讲究吗，直接去线下支行找还是咋找。浦发的支行都好少的,O O O O O O O O O O O O O O O O O O B-BANK I-BANK O O O O O B-COMMENTS_ADJ O
86,额度是共享的，但每张卡的消费分开的，这样说你可懂？年费是要分开刷的。,B-COMMENTS_N I-COMMENTS_N O O O O O O O O B-PRODUCT O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O
87,砖到位了，别说新户自由白，新户经典白还不是分分钟的事？,O O O O O O O B-COMMENTS_N I-COMMENTS_N B-PRODUCT I-PRODUCT I-PRODUCT O B-COMMENTS_N I-COMMENTS_N B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O
88,此言差矣唉{:1_1:}我搞了很久没搞定,O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O
89,有足额工资流水或者砖就可以,O O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O O O O O
90,就是存款一砖=一万，就是钱啊，钱多的意思,O O O O O O O O O O O O O O O O B-COMMENTS_ADJ O O O
91,听说审核半个月？,O O B-COMMENTS_N I-COMMENTS_N O O O O
92,基本被拒,O O O B-COMMENTS_ADJ
93,太让人无语了，早点给结果算了，特么折磨,O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O
94,忽悠你的投诉走下直接协商分期还,O O O O O O O O O O O O B-PRODUCT I-PRODUCT O
95,我给招商银行打电话已经不管了，然后只能他们这些联系我，法务部，材料组让我提供取保候审人什么的，就说立案了以后我不配合，就算还款了，也会有刑事责任，说我们当地有...,O O B-BANK I-BANK I-BANK I-BANK O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O
96,你欠多少？如果不是恶意透支一般不可能涉及刑事，别听他恐吓！,O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O O O O O O
97,某宝搜一下呀，不大把协商的，结果都挺好的,O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O
98,本金超过5万了么？没有的话，屌事没有。,B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O
99,直接上海信访银监局投诉只接官方电话其他电话不接都是催收没用,O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ
100,"就是4.3w的本金，加利息5,2万",O O O O O O O B-COMMENTS_N I-COMMENTS_N O O B-COMMENTS_N I-COMMENTS_N O O O O
101,还是想方设法还款吧！现在赶上好政策了。16年本人招行五万逾期一年，连带利息罚金做人情花了十一万，看守所...,O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O B-COMMENTS_ADJ O O O O O O O O O B-BANK I-BANK O O B-COMMENTS_N I-COMMENTS_N O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O
102,招商银行总部是武汉的吧，是027开头的电话,B-BANK I-BANK I-BANK I-BANK O O O O O O O O O O O O O O O O O
103,还是想方设法还款吧！现在赶上好政策了。16年本人招行五万逾期一年，连带利息罚金做人情花了十一万，看守所大拘三天，现在想想得不偿失啊...,O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O B-COMMENTS_ADJ O O O O O O O O O B-BANK I-BANK O O B-COMMENTS_N I-COMMENTS_N O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
104,还款期间小贷已结清,B-COMMENTS_N I-COMMENTS_N O O O O O O O
105,我直接空卡6个月从15k到23k，然后分期3折还是多少来着合年化5%左右我给分期了。现在黑屋中点分期就是代码,O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O B-COMMENTS_N I-COMMENTS_N O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O B-PRODUCT I-PRODUCT O O O O
106,先出审核完成再跳审核已经拒了,O O B-COMMENTS_N I-COMMENTS_N O O O O B-COMMENTS_N I-COMMENTS_N O O B-COMMENTS_ADJ O
107,新卡三到六个月首提，之后如果评分够三月一次,O B-PRODUCT O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O
108,现在是young卡，客服说金卡6万满，我看有人金卡都到7万多了,O O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O O O
109,没50个啊，有的话就去搞金那个了，现在流动资金就有30个,O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O
110,京东付款用云闪付,O O O O O B-PRODUCT I-PRODUCT I-PRODUCT
111,上征信吧,O B-PRODUCT I-PRODUCT O
112,如果实在没东西买，买10元e卡,O O O O O O O O O O O O O B-PRODUCT I-PRODUCT
113,侮辱我呢？固定临时只给一千块。尼玛的。能找客服吗？鬼浦发的真的是坑啊,O O O O O O O O O O O O O O O O O O O O O O O O O O B-BANK I-BANK O O O O B-COMMENTS_ADJ O
114,奶茶店，人家就贷款到100万,O O O O O O O B-PRODUCT I-PRODUCT O O O O O
115,招行，我昨天晚上申请的，今天打电话。,B-BANK I-BANK O O O O O O O O O O O O O O O O
116,在你家附近做个地址，很方便的,O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O
117,消卡消户，免得产生年费！别信什么通过存钱入去刷卡覆盖不良记录这套，明坑小白刷卡费，征信记录是无法掩盖的，只有还清后5年才能在征信上抺去这不良记录的！...,O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O B-COMMENTS_ADJ O O B-COMMENTS_N I-COMMENTS_N O O B-PRODUCT I-PRODUCT O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O B-PRODUCT I-PRODUCT O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O
118,信用信息显示时，招行就是这么显示的,O O O O O O O O B-BANK I-BANK O O O O O O O
119,小白卡吗？我的10天了还在审核,O O B-PRODUCT O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N
120,对小白卡，我的上个月27号申请，今天刚来信息。,O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O
121,建行5K-10k,B-BANK I-BANK O O O O O O
122,那你这是过了啊我的还在审核唉,O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O
123,稳了，叫业务员来帮你激活吧，不用自己跑去银行,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O
124,卡员上门没，我怕她们上门,B-PRODUCT O O O O O O B-COMMENTS_ADJ O O O O
125,没有，就来短信，或者电话就很方便,O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ
126,异地申卡吗？我也想申请个招商的，异地，怕上门，有招行储蓄卡，招行有理财。,O O B-PRODUCT I-PRODUCT O O O O O O O O B-BANK I-BANK O O O O O B-COMMENTS_ADJ O O O O B-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT O B-BANK I-BANK O B-PRODUCT I-PRODUCT O
127,卡不在多，在精啊，留四五张好好养一养，不要动征信了,O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O B-PRODUCT I-PRODUCT O
128,资料是怎么填的，异地申请地址前缀，还是资料重新包装一份，填有网点的城市？工作单位和住址填一样吗，还是填不同两个地方？…有,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
129,小白卡不用上门。直接带着身份证去网点就好了。会让你开储蓄卡。你说不需要就好了,O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ
130,京东小白卡业务员不要上门吗？,B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O
131,需要什么资料啊，我来准备下，安心些,O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O
132,请问怎么叫，我也刚收这个短信,O O O O O O O O O O O O O O
133,对小白卡，我上个月27号的申请，今天刚到。?,O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O
134,中间有电话回访吗，我就提交了申请等着拿信用卡呢,O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O
135,卡？我也想报个招商，异地，怕来你家。我有个搬家,B-PRODUCT O O O O O O B-BANK I-BANK O O O O B-COMMENTS_ADJ O O O O O O O O O
136,这是第一个卡，首卡的额度不会太高,O O O O O O O O O O B-PRODUCT I-PRODUCT O O B-COMMENTS_ADJ I-COMMENTS_ADJ
137,城市里所有银行都在你附近，你可以去百度找工作。心累啊,O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O
138,不需要。?我当地没有招商银行。卡,O O O O O O O O O O B-BANK I-BANK I-BANK I-BANK O B-PRODUCT
139,平安是不是野鸡行？,B-BANK I-BANK O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O
140,两家都是野鸡行，一定要选，那就留广发。,O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O B-BANK I-BANK O
141,广发还算野鸡行。,B-BANK I-BANK O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O
142,内资我个人只承认四大+招商+邮储。,O O O O O O O O O O O B-BANK I-BANK O B-BANK I-BANK O
143,广发当然是标准的野鸡行啊，内资银行除了四大+交通+招行，其余都是野鸡行。,B-BANK I-BANK O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O B-BANK I-BANK O B-BANK I-BANK O B-BANK I-BANK O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O
144,平安银行是吸血鬼?,B-BANK I-BANK I-BANK I-BANK O O O O O
145,交通历史还很长，G数据指标排名还在前列,B-BANK I-BANK O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ
146,肯定是广发,O O O B-BANK I-BANK
147,这个分期合适吗,O O B-PRODUCT I-PRODUCT O O O
148,年化才5.6，算低了,B-COMMENTS_N I-COMMENTS_N O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ
149,可以用嘛？浦发的新用卡还是可以的哦,O O O O O B-BANK I-BANK O O O O O O O O O O
150,有需要的话可以，我的招行就是的,O O O O O O O O O O B-BANK I-BANK O O O
151,我都没这个优惠，有的话我也分期了,O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O B-PRODUCT I-PRODUCT O
152,费率才3，挺便宜了,O O B-COMMENTS_ADJ O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O
